doid	disease	symbol
DOID:0014667	disease_of_metabolism	GCSH
DOID:0014667	disease_of_metabolism	GAMT
DOID:0014667	disease_of_metabolism	CLDN16
DOID:0014667	disease_of_metabolism	CLDN19
DOID:0014667	disease_of_metabolism	NDUFS4
DOID:0014667	disease_of_metabolism	CARS2
DOID:0014667	disease_of_metabolism	HFE
DOID:0014667	disease_of_metabolism	MRPS34
DOID:0014667	disease_of_metabolism	MOCOS
DOID:0014667	disease_of_metabolism	MARS2
DOID:0014667	disease_of_metabolism	TRMT5
DOID:0014667	disease_of_metabolism	SLC7A7
DOID:0014667	disease_of_metabolism	SRD5A3
DOID:0014667	disease_of_metabolism	MTHFR
DOID:0014667	disease_of_metabolism	PDSS2
DOID:0014667	disease_of_metabolism	PDSS1
DOID:0014667	disease_of_metabolism	HMGA1
DOID:0014667	disease_of_metabolism	POMC
DOID:0014667	disease_of_metabolism	IDUA
DOID:0014667	disease_of_metabolism	PSPH
DOID:0014667	disease_of_metabolism	GLB1
DOID:0014667	disease_of_metabolism	MGME1
DOID:0014667	disease_of_metabolism	DGUOK
DOID:0014667	disease_of_metabolism	GNMT
DOID:0014667	disease_of_metabolism	DDOST
DOID:0014667	disease_of_metabolism	CLPB
DOID:0014667	disease_of_metabolism	UGT1A1
DOID:0014667	disease_of_metabolism	SERPINA1
DOID:0014667	disease_of_metabolism	PRPS1
DOID:0014667	disease_of_metabolism	HADHB
DOID:0014667	disease_of_metabolism	HADHA
DOID:0014667	disease_of_metabolism	OSMR
DOID:0014667	disease_of_metabolism	TRMT10C
DOID:0014667	disease_of_metabolism	TF
DOID:0014667	disease_of_metabolism	BCKDHB
DOID:0014667	disease_of_metabolism	HSD11B2
DOID:0014667	disease_of_metabolism	KCNJ11
DOID:0014667	disease_of_metabolism	TFAM
DOID:0014667	disease_of_metabolism	CARTPT
DOID:0014667	disease_of_metabolism	GGT1
DOID:0014667	disease_of_metabolism	MCOLN1
DOID:0014667	disease_of_metabolism	SLC40A1
DOID:0014667	disease_of_metabolism	GALE
DOID:0014667	disease_of_metabolism	AKR1D1
